id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
14.9	355.42	386.3	414.65	437.98	449.8	453.72	452.25	444.88	428.06	399.24	366.87	347.95
15	355	386	414.5	438	450	454	452.5	445	428	399	366.5	347.5
15.1	354.58	385.7	414.35	438.02	450.2	454.28	452.75	445.12	427.94	398.76	366.13	347.05
15.2	354.16	385.4	414.2	438.04	450.4	454.56	453	445.24	427.88	398.52	365.76	346.6
15.3	353.74	385.1	414.05	438.06	450.6	454.84	453.25	445.36	427.82	398.28	365.39	346.15
15.4	353.32	384.8	413.9	438.08	450.8	455.12	453.5	445.48	427.76	398.04	365.02	345.7
15.5	352.9	384.5	413.75	438.1	451	455.4	453.75	445.6	427.7	397.8	364.65	345.25
15.6	352.48	384.2	413.6	438.12	451.2	455.68	454	445.72	427.64	397.56	364.28	344.8
15.7	352.06	383.9	413.45	438.14	451.4	455.96	454.25	445.84	427.58	397.32	363.91	344.35
15.8	351.64	383.6	413.3	438.16	451.6	456.24	454.5	445.96	427.52	397.08	363.54	343.9
15.9	351.22	383.3	413.15	438.18	451.8	456.52	454.75	446.08	427.46	396.84	363.17	343.45
16	350.8	383	413	438.2	452	456.8	455	446.2	427.4	396.6	362.8	343
16.1	350.38	382.7	412.85	438.22	452.2	457.08	455.25	446.32	427.34	396.36	362.43	342.55
16.2	349.96	382.4	412.7	438.24	452.4	457.36	455.5	446.44	427.28	396.12	362.06	342.1
16.3	349.54	382.1	412.55	438.26	452.6	457.64	455.75	446.56	427.22	395.88	361.69	341.65
16.4	349.12	381.8	412.4	438.28	452.8	457.92	456	446.68	427.16	395.64	361.32	341.2
16.5	348.7	381.5	412.25	438.3	453	458.2	456.25	446.8	427.1	395.4	360.95	340.75
16.6	348.28	381.2	412.1	438.32	453.2	458.48	456.5	446.92	427.04	395.16	360.58	340.3
16.7	347.86	380.9	411.95	438.34	453.4	458.76	456.75	447.04	426.98	394.92	360.21	339.85
16.8	347.44	380.6	411.8	438.36	453.6	459.04	457	447.16	426.92	394.68	359.84	339.4
16.9	347.02	380.3	411.65	438.38	453.8	459.32	457.25	447.28	426.86	394.44	359.47	338.95
17	346.6	380	411.5	438.4	454	459.6	457.5	447.4	426.8	394.2	359.1	338.5
17.1	346.18	379.7	411.35	438.42	454.2	459.88	457.75	447.52	426.74	393.96	358.73	338.05
17.2	345.76	379.4	411.2	438.44	454.4	460.16	458	447.64	426.68	393.72	358.36	337.6
17.3	345.34	379.1	411.05	438.46	454.6	460.44	458.25	447.76	426.62	393.48	357.99	337.15
17.4	344.92	378.8	410.9	438.48	454.8	460.72	458.5	447.88	426.56	393.24	357.62	336.7
17.5	344.5	378.5	410.75	438.5	455	461	458.75	448	426.5	393	357.25	336.25
17.6	344.08	378.2	410.6	438.52	455.2	461.28	459	448.12	426.44	392.76	356.88	335.8
17.7	343.66	377.9	410.45	438.54	455.4	461.56	459.25	448.24	426.38	392.52	356.51	335.35
17.8	343.24	377.6	410.3	438.56	455.6	461.84	459.5	448.36	426.32	392.28	356.14	334.9
17.9	342.82	377.3	410.15	438.58	455.8	462.12	459.75	448.48	426.26	392.04	355.77	334.45
18	342.4	377	410	438.6	456	462.4	460	448.6	426.2	391.8	355.4	334
18.1	341.98	376.7	409.85	438.62	456.2	462.68	460.25	448.72	426.14	391.56	355.03	333.55
18.2	341.56	376.4	409.7	438.64	456.4	462.96	460.5	448.84	426.08	391.32	354.66	333.1
18.3	341.14	376.1	409.55	438.66	456.6	463.24	460.75	448.96	426.02	391.08	354.29	332.65
18.4	340.72	375.8	409.4	438.68	456.8	463.52	461	449.08	425.96	390.84	353.92	332.2
18.5	340.3	375.5	409.25	438.7	457	463.8	461.25	449.2	425.9	390.6	353.55	331.75
18.6	339.88	375.2	409.1	438.72	457.2	464.08	461.5	449.32	425.84	390.36	353.18	331.3
18.7	339.46	374.9	408.95	438.74	457.4	464.36	461.75	449.44	425.78	390.12	352.81	330.85
18.8	339.04	374.6	408.8	438.76	457.6	464.64	462	449.56	425.72	389.88	352.44	330.4
18.9	338.62	374.3	408.65	438.78	457.8	464.92	462.25	449.68	425.66	389.64	352.07	329.95
19	338.2	374	408.5	438.8	458	465.2	462.5	449.8	425.6	389.4	351.7	329.5
19.1	337.78	373.7	408.35	438.82	458.2	465.48	462.75	449.92	425.54	389.16	351.33	329.05
19.2	337.36	373.4	408.2	438.84	458.4	465.76	463	450.04	425.48	388.92	350.96	328.6
19.3	336.94	373.1	408.05	438.86	458.6	466.04	463.25	450.16	425.42	388.68	350.59	328.15
