id	Pm1	Pm2	Pm3	Pm4
8.9	12.8	0	0	3.9
9	13	0	0	4
9.1	13.2	0	0	4.1
9.2	13.4	0	0	4.2
9.3	13.6	0	0	4.3
9.4	13.8	0	0	4.4
9.5	14	0	0	4.5
9.6	14.2	0	0	4.6
9.7	14.4	0	0	4.7
9.8	14.6	0	0	4.8
9.9	14.8	0	0	4.9
10	15	0	0	5
10.1	15.1	0.3	0.1	5.8
10.2	15.2	0.6	0.2	6.6
10.3	15.3	0.9	0.3	7.4
10.4	15.4	1.2	0.4	8.2
10.5	15.5	1.5	0.5	9
10.6	15.6	1.8	0.6	9.8
10.7	15.7	2.1	0.7	10.6
10.8	15.8	2.4	0.8	11.4
10.9	15.9	2.7	0.9	12.2
11	16	3	1	13
11.1	16.1	3.3	1.1	13.8
11.2	16.2	3.6	1.2	14.6
11.3	16.3	3.9	1.3	15.4
11.4	16.4	4.2	1.4	16.2
11.5	16.5	4.5	1.5	17
11.6	16.6	4.8	1.6	17.8
11.7	16.7	5.1	1.7	18.6
11.8	16.8	5.4	1.8	19.4
11.9	16.9	5.7	1.9	20.2
12	17	6	2	21
12.1	17.1	6.3	2.1	21.8
12.2	17.2	6.6	2.2	22.6
12.3	17.3	6.9	2.3	23.4
12.4	17.4	7.2	2.4	24.2
12.5	17.5	7.5	2.5	25
12.6	17.6	7.8	2.6	25.8
12.7	17.7	8.1	2.7	26.6
12.8	17.8	8.4	2.8	27.4
12.9	17.9	8.7	2.9	28.2
13	18	9	3	29
13.1	18.1	9.3	3.1	29.8
13.2	18.2	9.6	3.2	30.6
13.3	18.3	9.9	3.3	31.4
13.4	18.4	10.2	3.4	32.2
13.5	18.5	10.5	3.5	33
13.6	18.6	10.8	3.6	33.8
13.7	18.7	11.1	3.7	34.6
13.8	18.8	11.4	3.8	35.4
13.9	18.9	11.7	3.9	36.2
14	19	12	4	37
14.1	19.1	12.3	4.1	37.8
14.2	19.2	12.6	4.2	38.6
14.3	19.3	12.9	4.3	39.4
14.4	19.4	13.2	4.4	40.2
14.5	19.5	13.5	4.5	41
14.6	19.6	13.8	4.6	41.8
14.7	19.7	14.1	4.7	42.6
14.8	19.8	14.4	4.8	43.4
14.9	19.9	14.7	4.9	44.2
15	20	15	5	45
15.1	20	15.35	5.8	45.4
15.2	20	15.7	6.6	45.8
15.3	20	16.05	7.4	46.2
15.4	20	16.4	8.2	46.6
15.5	20	16.75	9	47
15.6	20	17.1	9.8	47.4
15.7	20	17.45	10.6	47.8
15.8	20	17.8	11.4	48.2
15.9	20	18.15	12.2	48.6
16	20	18.5	13	49
16.1	20	18.85	13.8	49.4
16.2	20	19.2	14.6	49.8
16.3	20	19.55	15.4	50.2
16.4	20	19.9	16.2	50.6
16.5	20	20.25	17	51
16.6	20	20.6	17.8	51.4
16.7	20	20.95	18.6	51.8
16.8	20	21.3	19.4	52.2
16.9	20	21.65	20.2	52.6
17	20	22	21	53
17.1	20	22.35	21.8	53.4
17.2	20	22.7	22.6	53.8
17.3	20	23.05	23.4	54.2
17.4	20	23.4	24.2	54.6
17.5	20	23.75	25	55
17.6	20	24.1	25.8	55.4
17.7	20	24.45	26.6	55.8
17.8	20	24.8	27.4	56.2
17.9	20	25.15	28.2	56.6
18	20	25.5	29	57
18.1	20	25.85	29.8	57.4
18.2	20	26.2	30.6	57.8
18.3	20	26.55	31.4	58.2
18.4	20	26.9	32.2	58.6
18.5	20	27.25	33	59
18.6	20	27.6	33.8	59.4
18.7	20	27.95	34.6	59.8
18.8	20	28.3	35.4	60.2
18.9	20	28.65	36.2	60.6
19	20	29	37	61
19.1	20	29.35	37.8	61.4
19.2	20	29.7	38.6	61.8
19.3	20	30.05	39.4	62.2
19.4	20	30.4	40.2	62.6
19.5	20	30.75	41	63
19.6	20	31.1	41.8	63.4
19.7	20	31.45	42.6	63.8
19.8	20	31.8	43.4	64.2
