id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
41.4	122.7596	181.4284	253.182	335.000508	394.4824	421.9818	412.482	366.102	292.686	212.4414	142.1876	109.7792
41.5	122.1725	180.8575	252.6875	334.6891	394.365	421.97375	412.4375	365.8875	292.2775	211.89625	141.6025	109.195
41.6	121.5856	180.2864	252.192	334.376528	394.2464	421.9648	412.392	365.672	291.868	211.3504	141.0176	108.6112
41.7	120.9989	179.7151	251.6955	334.062792	394.1266	421.95495	412.3455	365.4555	291.4575	210.80385	140.4329	108.0278
41.8	120.4124	179.1436	251.198	333.747892	394.0056	421.9442	412.298	365.238	291.046	210.2566	139.8484	107.4448
41.9	119.8261	178.5719	250.6995	333.431828	393.8834	421.93255	412.2495	365.0195	290.6335	209.70865	139.2641	106.8622
42	119.24	178	250.2	333.1146	393.76	421.92	412.2	364.8	290.22	209.16	138.68	106.28
42.1	118.6541	177.4279	249.6995	332.796208	393.6354	421.90655	412.1495	364.5795	289.8055	208.61065	138.0961	105.6982
42.2	118.0684	176.8556	249.198	332.476652	393.5096	421.8922	412.098	364.358	289.39	208.0606	137.5124	105.1168
42.3	117.4829	176.2831	248.6955	332.155932	393.3826	421.87695	412.0455	364.1355	288.9735	207.50985	136.9289	104.5358
42.4	116.8976	175.7104	248.192	331.834048	393.2544	421.8608	411.992	363.912	288.556	206.9584	136.3456	103.9552
42.5	116.3125	175.1375	247.6875	331.511	393.125	421.84375	411.9375	363.6875	288.1375	206.40625	135.7625	103.375
42.6	115.7276	174.5644	247.182	331.186788	392.9944	421.8258	411.882	363.462	287.718	205.8534	135.1796	102.7952
42.7	115.1429	173.9911	246.6755	330.861412	392.8626	421.80695	411.8255	363.2355	287.2975	205.29985	134.5969	102.2158
42.8	114.5584	173.4176	246.168	330.534872	392.7296	421.7872	411.768	363.008	286.876	204.7456	134.0144	101.6368
42.9	113.9741	172.8439	245.6595	330.207168	392.5954	421.76655	411.7095	362.7795	286.4535	204.19065	133.4321	101.0582
43	113.39	172.27	245.15	329.8783	392.46	421.745	411.65	362.55	286.03	203.635	132.85	100.48
43.1	112.8061	171.6959	244.6395	329.548268	392.3234	421.72255	411.5895	362.3195	285.6055	203.07865	132.2681	99.9022
43.2	112.2224	171.1216	244.128	329.217072	392.1856	421.6992	411.528	362.088	285.18	202.5216	131.6864	99.3248
43.3	111.6389	170.5471	243.6155	328.884712	392.0466	421.67495	411.4655	361.8555	284.7535	201.96385	131.1049	98.7478
43.4	111.0556	169.9724	243.102	328.551188	391.9064	421.6498	411.402	361.622	284.326	201.4054	130.5236	98.1712
43.5	110.4725	169.3975	242.5875	328.2165	391.765	421.62375	411.3375	361.3875	283.8975	200.84625	129.9425	97.595
43.6	109.8896	168.8224	242.072	327.880648	391.6224	421.5968	411.272	361.152	283.468	200.2864	129.3616	97.0192
43.7	109.3069	168.2471	241.5555	327.543632	391.4786	421.56895	411.2055	360.9155	283.0375	199.72585	128.7809	96.4438
43.8	108.7244	167.6716	241.038	327.205452	391.3336	421.5402	411.138	360.678	282.606	199.1646	128.2004	95.8688
43.9	108.1421	167.0959	240.5195	326.866108	391.1874	421.51055	411.0695	360.4395	282.1735	198.60265	127.6201	95.2942
44	107.56	166.52	240	326.5256	391.04	421.48	411	360.2	281.74	198.04	127.04	94.72
44.1	106.9781	165.9439	239.4795	326.183928	390.8914	421.44855	410.9295	359.9595	281.3055	197.47665	126.4601	94.1462
44.2	106.3964	165.3676	238.958	325.841092	390.7416	421.4162	410.858	359.718	280.87	196.9126	125.8804	93.5728
44.3	105.8149	164.7911	238.4355	325.497092	390.5906	421.38295	410.7855	359.4755	280.4335	196.34785	125.3009	92.9998
44.4	105.2336	164.2144	237.912	325.151928	390.4384	421.3488	410.712	359.232	279.996	195.7824	124.7216	92.4272
44.5	104.6525	163.6375	237.3875	324.8056	390.285	421.31375	410.6375	358.9875	279.5575	195.21625	124.1425	91.855
44.6	104.0716	163.0604	236.862	324.458108	390.1304	421.2778	410.562	358.742	279.118	194.6494	123.5636	91.2832
44.7	103.4909	162.4831	236.3355	324.109452	389.9746	421.24095	410.4855	358.4955	278.6775	194.08185	122.9849	90.7118
44.8	102.9104	161.9056	235.808	323.759632	389.8176	421.2032	410.408	358.248	278.236	193.5136	122.4064	90.1408
44.9	102.3301	161.3279	235.2795	323.408648	389.6594	421.16455	410.3295	357.9995	277.7935	192.94465	121.8281	89.5702
45	101.75	160.75	234.75	323.0565	389.5	421.125	410.25	357.75	277.35	192.375	121.25	89
45.1	101.1701	160.1719	234.2195	322.703188	389.3394	421.08455	410.1695	357.4995	276.9055	191.80465	120.6721	88.4302
45.2	100.5904	159.5936	233.688	322.348712	389.1776	421.0432	410.088	357.248	276.46	191.2336	120.0944	87.8608
45.3	100.0109	159.0151	233.1555	321.993072	389.0146	421.00095	410.0055	356.9955	276.0135	190.66185	119.5169	87.2918
45.4	99.4316	158.4364	232.622	321.636268	388.8504	420.9578	409.922	356.742	275.566	190.0894	118.9396	86.7232
45.5	98.8525	157.8575	232.0875	321.2783	388.685	420.91375	409.8375	356.4875	275.1175	189.51625	118.3625	86.155
45.6	98.2736	157.2784	231.552	320.919168	388.5184	420.8688	409.752	356.232	274.668	188.9424	117.7856	85.5872
