id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
36.2	261.1	240.52	206.08	165.26	125.68	105.82	113.44	148.78	186.36	226.42	252.24	265.34
36.3	261.15	240.48	205.92	164.99	125.32	105.43	113.06	148.47	186.14	226.33	252.26	265.41
36.4	261.2	240.44	205.76	164.72	124.96	105.04	112.68	148.16	185.92	226.24	252.28	265.48
36.5	261.25	240.4	205.6	164.45	124.6	104.65	112.3	147.85	185.7	226.15	252.3	265.55
36.6	261.3	240.36	205.44	164.18	124.24	104.26	111.92	147.54	185.48	226.06	252.32	265.62
36.7	261.35	240.32	205.28	163.91	123.88	103.87	111.54	147.23	185.26	225.97	252.34	265.69
36.8	261.4	240.28	205.12	163.64	123.52	103.48	111.16	146.92	185.04	225.88	252.36	265.76
36.9	261.45	240.24	204.96	163.37	123.16	103.09	110.78	146.61	184.82	225.79	252.38	265.83
37	261.5	240.2	204.8	163.1	122.8	102.7	110.4	146.3	184.6	225.7	252.4	265.9
37.1	261.55	240.16	204.64	162.83	122.44	102.31	110.02	145.99	184.38	225.61	252.42	265.97
37.2	261.6	240.12	204.48	162.56	122.08	101.92	109.64	145.68	184.16	225.52	252.44	266.04
37.3	261.65	240.08	204.32	162.29	121.72	101.53	109.26	145.37	183.94	225.43	252.46	266.11
37.4	261.7	240.04	204.16	162.02	121.36	101.14	108.88	145.06	183.72	225.34	252.48	266.18
37.5	261.75	240	204	161.75	121	100.75	108.5	144.75	183.5	225.25	252.5	266.25
37.6	261.8	239.96	203.84	161.48	120.64	100.36	108.12	144.44	183.28	225.16	252.52	266.32
37.7	261.85	239.92	203.68	161.21	120.28	99.97	107.74	144.13	183.06	225.07	252.54	266.39
37.8	261.9	239.88	203.52	160.94	119.92	99.58	107.36	143.82	182.84	224.98	252.56	266.46
37.9	261.95	239.84	203.36	160.67	119.56	99.19	106.98	143.51	182.62	224.89	252.58	266.53
38	262	239.8	203.2	160.4	119.2	98.8	106.6	143.2	182.4	224.8	252.6	266.6
38.1	262.05	239.76	203.04	160.13	118.84	98.41	106.22	142.89	182.18	224.71	252.62	266.67
38.2	262.1	239.72	202.88	159.86	118.48	98.02	105.84	142.58	181.96	224.62	252.64	266.74
38.3	262.15	239.68	202.72	159.59	118.12	97.63	105.46	142.27	181.74	224.53	252.66	266.81
38.4	262.2	239.64	202.56	159.32	117.76	97.24	105.08	141.96	181.52	224.44	252.68	266.88
38.5	262.25	239.6	202.4	159.05	117.4	96.85	104.7	141.65	181.3	224.35	252.7	266.95
38.6	262.3	239.56	202.24	158.78	117.04	96.46	104.32	141.34	181.08	224.26	252.72	267.02
38.7	262.35	239.52	202.08	158.51	116.68	96.07	103.94	141.03	180.86	224.17	252.74	267.09
38.8	262.4	239.48	201.92	158.24	116.32	95.68	103.56	140.72	180.64	224.08	252.76	267.16
38.9	262.45	239.44	201.76	157.97	115.96	95.29	103.18	140.41	180.42	223.99	252.78	267.23
39	262.5	239.4	201.6	157.7	115.6	94.9	102.8	140.1	180.2	223.9	252.8	267.3
39.1	262.55	239.36	201.44	157.43	115.24	94.51	102.42	139.79	179.98	223.81	252.82	267.37
39.2	262.6	239.32	201.28	157.16	114.88	94.12	102.04	139.48	179.76	223.72	252.84	267.44
39.3	262.65	239.28	201.12	156.89	114.52	93.73	101.66	139.17	179.54	223.63	252.86	267.51
39.4	262.7	239.24	200.96	156.62	114.16	93.34	101.28	138.86	179.32	223.54	252.88	267.58
39.5	262.75	239.2	200.8	156.35	113.8	92.95	100.9	138.55	179.1	223.45	252.9	267.65
39.6	262.8	239.16	200.64	156.08	113.44	92.56	100.52	138.24	178.88	223.36	252.92	267.72
39.7	262.85	239.12	200.48	155.81	113.08	92.17	100.14	137.93	178.66	223.27	252.94	267.79
39.8	262.9	239.08	200.32	155.54	112.72	91.78	99.76	137.62	178.44	223.18	252.96	267.86
39.9	262.95	239.04	200.16	155.27	112.36	91.39	99.38	137.31	178.22	223.09	252.98	267.93
40	263	239	200	155	112	91	99	137	178	223	253	268
40.1	263.02	238.91	199.78	154.66	111.61	90.6	98.61	136.63	177.72	222.84	252.98	268.05
40.2	263.04	238.82	199.56	154.32	111.22	90.2	98.22	136.26	177.44	222.68	252.96	268.1
40.3	263.06	238.73	199.34	153.98	110.83	89.8	97.83	135.89	177.16	222.52	252.94	268.15
40.4	263.08	238.64	199.12	153.64	110.44	89.4	97.44	135.52	176.88	222.36	252.92	268.2
40.5	263.1	238.55	198.9	153.3	110.05	89	97.05	135.15	176.6	222.2	252.9	268.25
40.6	263.12	238.46	198.68	152.96	109.66	88.6	96.66	134.78	176.32	222.04	252.88	268.3
40.7	263.14	238.37	198.46	152.62	109.27	88.2	96.27	134.41	176.04	221.88	252.86	268.35
40.8	263.16	238.28	198.24	152.28	108.88	87.8	95.88	134.04	175.76	221.72	252.84	268.4
40.9	263.18	238.19	198.02	151.94	108.49	87.4	95.49	133.67	175.48	221.56	252.82	268.45
41	263.2	238.1	197.8	151.6	108.1	87	95.1	133.3	175.2	221.4	252.8	268.5
41.1	263.22	238.01	197.58	151.26	107.71	86.6	94.71	132.93	174.92	221.24	252.78	268.55
41.2	263.24	237.92	197.36	150.92	107.32	86.2	94.32	132.56	174.64	221.08	252.76	268.6
41.3	263.26	237.83	197.14	150.58	106.93	85.8	93.93	132.19	174.36	220.92	252.74	268.65
